  PID TTY          TIME CMD
    1 ?        00:00:07 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 rcu_gp
    4 ?        00:00:00 rcu_par_gp
    6 ?        00:00:00 kworker/0:0H-kb
    8 ?        00:00:00 mm_percpu_wq
    9 ?        00:00:00 ksoftirqd/0
   10 ?        00:00:27 rcu_sched
   11 ?        00:00:00 migration/0
   12 ?        00:00:00 idle_inject/0
   14 ?        00:00:00 cpuhp/0
   15 ?        00:00:00 cpuhp/1
   16 ?        00:00:00 idle_inject/1
   17 ?        00:00:00 migration/1
   18 ?        00:00:00 ksoftirqd/1
   20 ?        00:00:00 kworker/1:0H
   21 ?        00:00:00 cpuhp/2
   22 ?        00:00:00 idle_inject/2
   23 ?        00:00:00 migration/2
   24 ?        00:00:00 ksoftirqd/2
   26 ?        00:00:00 kworker/2:0H-kb
   27 ?        00:00:00 cpuhp/3
   28 ?        00:00:00 idle_inject/3
   29 ?        00:00:00 migration/3
   30 ?        00:00:00 ksoftirqd/3
   32 ?        00:00:00 kworker/3:0H-kb
   33 ?        00:00:00 cpuhp/4
   34 ?        00:00:00 idle_inject/4
   35 ?        00:00:00 migration/4
   36 ?        00:00:00 ksoftirqd/4
   38 ?        00:00:00 kworker/4:0H-kb
   39 ?        00:00:00 cpuhp/5
   40 ?        00:00:00 idle_inject/5
   41 ?        00:00:00 migration/5
   42 ?        00:00:00 ksoftirqd/5
   44 ?        00:00:00 kworker/5:0H-kb
   45 ?        00:00:00 cpuhp/6
   46 ?        00:00:00 idle_inject/6
   47 ?        00:00:00 migration/6
   48 ?        00:00:00 ksoftirqd/6
   50 ?        00:00:00 kworker/6:0H-kb
   51 ?        00:00:00 cpuhp/7
   52 ?        00:00:00 idle_inject/7
   53 ?        00:00:00 migration/7
   54 ?        00:00:00 ksoftirqd/7
   56 ?        00:00:00 kworker/7:0H-kb
   57 ?        00:00:00 kdevtmpfs
   58 ?        00:00:00 netns
   59 ?        00:00:00 rcu_tasks_kthre
   60 ?        00:00:00 kauditd
   62 ?        00:00:00 khungtaskd
   63 ?        00:00:00 oom_reaper
   64 ?        00:00:00 writeback
   65 ?        00:00:00 kcompactd0
   66 ?        00:00:00 ksmd
   67 ?        00:00:00 khugepaged
   68 ?        00:00:00 crypto
   69 ?        00:00:00 kintegrityd
   70 ?        00:00:00 kblockd
   72 ?        00:00:00 tpm_dev_wq
   73 ?        00:00:00 ata_sff
   74 ?        00:00:00 md
   75 ?        00:00:00 edac-poller
   77 ?        00:00:00 devfreq_wq
   78 ?        00:00:00 watchdogd
   83 ?        00:00:01 kswapd0
   84 ?        00:00:00 kworker/u17:0-h
   85 ?        00:00:00 ecryptfs-kthrea
  175 ?        00:00:00 kthrotld
  176 ?        00:00:00 acpi_thermal_pm
  178 ?        00:00:00 scsi_eh_0
  179 ?        00:00:00 scsi_tmf_0
  180 ?        00:00:00 scsi_eh_1
  181 ?        00:00:00 scsi_tmf_1
  184 ?        00:00:00 scsi_eh_2
  185 ?        00:00:00 scsi_tmf_2
  186 ?        00:00:00 scsi_eh_3
  187 ?        00:00:00 scsi_tmf_3
  190 ?        00:00:01 kworker/7:1H-ev
  193 ?        00:00:00 ipv6_addrconf
  204 ?        00:00:00 kstrp
  223 ?        00:00:00 charger_manager
  228 ?        00:00:00 kworker/1:1H-ev
  229 ?        00:00:00 kworker/4:1H-ev
  292 ?        00:00:04 kworker/3:1H-ev
  293 ?        00:00:00 kworker/2:1H-ev
  320 ?        00:00:00 kworker/5:1H-ev
  322 ?        00:00:00 kworker/0:1H-ev
  323 ?        00:00:00 jbd2/sda4-8
  324 ?        00:00:00 ext4-rsv-conver
  326 ?        00:00:01 kworker/6:1H-ev
  357 ?        00:00:00 systemd-journal
  385 ?        00:00:00 systemd-udevd
  413 ?        00:00:00 asus_wireless_w
  414 ?        00:00:00 led_workqueue
  421 ?        00:00:00 irq/34-mei_me
  426 ?        00:00:00 kmemstick
  445 ?        00:00:00 cfg80211
  587 ?        00:00:00 nvkm-disp
  598 ?        00:00:07 i915/signal:0
  599 ?        00:00:00 i915/signal:1
  600 ?        00:00:00 i915/signal:2
  601 ?        00:00:00 i915/signal:6
  631 ?        00:00:00 kworker/u17:1-h
  658 ?        00:00:00 ttm_swap
  740 ?        00:00:00 jbd2/sda6-8
  741 ?        00:00:00 ext4-rsv-conver
  745 ?        00:00:01 jbd2/sda5-8
  746 ?        00:00:00 ext4-rsv-conver
  749 ?        00:00:00 jbd2/sda3-8
  750 ?        00:00:00 ext4-rsv-conver
  758 ?        00:00:00 loop0
  759 ?        00:00:00 loop1
  761 ?        00:00:00 loop2
  764 ?        00:00:00 loop3
  766 ?        00:00:00 loop4
  769 ?        00:00:00 loop5
  773 ?        00:00:00 loop6
  777 ?        00:00:00 loop7
  779 ?        00:00:00 loop8
  783 ?        00:00:00 loop9
  786 ?        00:00:00 loop10
  790 ?        00:00:00 loop11
  792 ?        00:00:00 loop12
  796 ?        00:00:00 loop13
  799 ?        00:00:00 loop14
  801 ?        00:00:00 loop15
  804 ?        00:00:00 loop16
  807 ?        00:00:00 loop17
  900 ?        00:00:00 systemd-timesyn
  903 ?        00:00:00 systemd-resolve
  927 ?        00:00:00 kworker/1:2-eve
  932 ?        00:00:00 ModemManager
  937 ?        00:00:00 rsyslogd
  938 ?        00:00:00 irqbalance
  943 ?        00:00:00 systemd-logind
  944 ?        00:00:02 snapd
  946 ?        00:00:00 cupsd
  947 ?        00:00:00 avahi-daemon
  948 ?        00:00:00 bluetoothd
  954 ?        00:00:00 acpid
  956 ?        00:00:00 networkd-dispat
  957 ?        00:00:00 thermald
  959 ?        00:00:02 dbus-daemon
  971 ?        00:00:00 avahi-daemon
  984 ?        00:00:00 wpa_supplicant
  986 ?        00:00:02 NetworkManager
  987 ?        00:00:00 udisksd
  989 ?        00:00:00 cron
  991 ?        00:00:00 accounts-daemon
 1001 ?        00:00:00 cups-browsed
 1006 ?        00:00:00 polkitd
 1105 ?        00:00:00 unattended-upgr
 1130 ?        00:00:00 gdm3
 1177 ?        00:00:00 gdm-session-wor
 1186 ?        00:00:00 ath9k-hwrng
 1223 ?        00:00:00 dhclient
 1276 ?        00:00:00 apache2
 1280 ?        00:00:00 apache2
 1281 ?        00:00:00 apache2
 1282 ?        00:00:00 apache2
 1283 ?        00:00:00 apache2
 1284 ?        00:00:00 apache2
 1295 ?        00:00:00 whoopsie
 1297 ?        00:00:00 kerneloops
 1299 ?        00:00:00 kerneloops
 1308 ?        00:00:00 systemd
 1310 ?        00:00:00 (sd-pam)
 1332 tty1     00:00:00 gdm-wayland-ses
